Sentence,Idiom,NumOfWordsBetween,BetweenPOS,PrePOS,prePOS2,postPOS,postPOS2,CountOfSameNounInContext,SentenceLength,SentimentsAVG,Usage
he have be the one to persuade she brother an alcoholic and addict to flee new orleans for the sobriety of the midwest where he kick he bad habit,kick_habit,2,"['DPS', 'AJ0']",PNP,CJS-AVQ,,,1,29,0.218105263,I
he recently kick a lifetime habit as a chain smoker a typical example of the famous macsharry willpower say observer,kick_habit,2,"['AT0', 'NN1']",AV0,PNP,PRP,AT0,1,20,0.2015,I
george v have find lloyd george 's scattering of honour disagreeable and distasteful accord to he private secretary lord stamfordham and while no subsequent prime minister have abuse the system to anything like the same degree they can not kick the habit,kick_habit,1,['AT0'],XX0,VM0,,,1,42,0.25536,I
to the end of he day the poor man be addict to psychoanalysis agree that it sap he independence and self respect but unable to kick the habit,kick_habit,1,['AT0'],TO0,AJ0,,,1,28,0.2813,I
there be various clinic and self-help group to support and encourage those want to kick the habit but a lot of determination will be need to get through the first difficult week or month,kick_habit,1,['AT0'],TO0,VVG-AJ0,CJC,AT0,2,34,0.189608696,I
they be member of wendy jeffery 's tap dancing class and they just can not kick the habit,kick_habit,1,['AT0'],XX0,VM0,,,1,18,0.120222222,I
but even a heavy smoker can reduce this risk by kick the habit and the benefit start within day of give up,kick_habit,1,['AT0'],PRP,NN1,CJC,AT0,1,22,0.245266667,I
the truth be quite otherwise adult smoker be simply ex-teenage smoker who have not manage to kick the habit,kick_habit,1,['AT0'],TO0,VVN,,,1,19,0.296083333,I
mel to kick lethal habit,kick_habit,1,['AJ0'],TO0,NP0,,,2,5,-0.22275,I
chain-smoking actor mel gibson will make a new year resolution to kick the habit for the 10th year running,kick_habit,1,['AT0'],TO0,NN1,PRP,AT0,2,19,0.077923077,I
proper planning be the key to success for the thousands of smoker hope to kick the habit in the new year accord to an expert,kick_habit,1,['AT0'],TO0,VVG,PRP,AT0,1,25,0.453190476,I
alternative vehicle for get nicotine into the bloodstream skin patch chewing gum and a recently-developed nasal spray triple you chance of successfully kick the smoking habit,kick_habit,2,"['AT0', 'AJ0-NN1']",AV0,PRF,,,1,26,0.186705882,I
ask whether the american army have help he to kick he drug habit,kick_habit,2,"['DPS', 'NN1']",TO0,PNP,,,1,13,0.171666667,I
wally reid be actually keen to kick the habit,kick_habit,1,['AT0'],TO0,AJ0,,,1,9,-0.323714286,Q
but know be not do and many people find it well nigh impossible to kick the habit,kick_habit,1,['AT0'],TO0,AJ0,,,1,17,0.099181818,I
former chest physician dr howard williams and jayne devonald the smoking health promotion adviser will be on hand from 11am to 3pm at the healthy colchester information shop in trinity street to give help to anyone want to kick the habit,kick_habit,1,['AT0'],TO0,VVG-AJ0,,,2,41,0.481434783,I
in the new year staff will be give advice on how to kick the habit,kick_habit,1,['AT0'],TO0,AVQ,,,1,15,0.218363636,I
like she mechanic husband graham another smoker amanda be do everything she can to kick the habit herself,kick_habit,1,['AT0'],TO0,VM0,PNX,,1,18,0.293555556,I
if you be one of britain 's 14 million smoker kick the habit could save you a lot more than the ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,kick_habit,1,['AT0'],NN2,CRD,VM0,VVI,1,27,0.170428571,I
if policy-maker wish to kick this habit out of the classroom it be clear that training in new skill be not in itself the answer,kick_habit,1,['DT0'],TO0,VVB,AVP,PRF,2,25,0.37625,I
addiction research should be encourage to do the same to move beyond devise good therapy for those who wish to kick the drug habit into the invention of safe more effective and less habit-forming high,kick_habit,2,"['AT0', 'NN1']",TO0,VVB,PRP,AT0,2,35,0.30937931,I
the point at which a user come to the decision to kick the habit be determine by a variety of factor personal social and environmental,kick_habit,1,['AT0'],TO0,NN1,VBZ,VVN,1,25,0.302235294,I
i feel it have to be i fault i be a weak human being with no moral fibre or i would have be able to kick the habit,kick_habit,1,['AT0'],TO0,AJ0,,,1,28,0.184928571,I
they must also offer confidentiality and staff need to be nonjudgmental and ready to offer help whether or not the individual be ready to kick the habit,kick_habit,1,['AT0'],TO0,AJ0,,,1,27,0.25925,I
in recent year more than 11 million smoker in britain have kick the habit,kick_habit,1,['AT0'],VHB,NP0,,,1,14,0.0752,I
i be try to kick the habit,kick_habit,1,['AT0'],TO0,VVG,,,1,7,0.0316,Q
leave to right be viv cumbley jacqueline ward and susan woch applaud colleague jill bailey who be picture crush a packet of cigarette after kick the habit,kick_habit,1,['AT0'],PRP,NN2,,,1,27,0.08025,I
he have be on the sauce basically but he have kick the habit and he say of kick the drinking habit i have have a lot of help and a lot of good counselling in the end it be up to i,kick_habit,1,['AT0'],VHZ,PNP,CJC,PNP,2,42,0.486518519,I
he kick the habit as he doctor must have tell you,kick_habit,1,['AT0'],PNP,,CJS,DPS,1,11,0.002333333,I
he be desperately try to kick the habit on he own but he need moral support and someone to keep an eye on he,kick_habit,1,['AT0'],TO0,VVG,PRP,DPS,1,24,0.104153846,I
research have show that each year only one smoker in 100 be able to kick the habit without some kind of help,kick_habit,1,['AT0'],TO0,AJ0,PRP,DT0,1,22,0.129611111,I
man be kick the habit but woman be not lung cancer have overtake breast cancer as killer.but despite the statistics people continue to smoke,kick_habit,1,['AT0'],VBB,NN2,CJC,NN2,1,24,0.025764706,I
there too a twenty year old who have manage to kick a habit that be lead he down a dangerous path,kick_habit,1,['AT0'],TO0,VVN,CJT-DT0,VBD,1,21,-0.040583333,I
the couple who can not kick the habit,kick_habit,1,['AT0'],XX0,VM0,,,1,8,0.0674,Q
like they counterpart in britain more middle-aged smoker be kick the habit through fear of illness or current ill-health,kick_habit,1,['AT0'],VBB,NN2,PRP,NN1,1,19,-0.0148,I
chris boardman have warn youngster to kick the drug habit and find another way of get high,kick_habit,2,"['AT0', 'NN2']",TO0,NN2,CJC,VVB,1,17,0.137384615,I
forties film star humphrey bogart be set to help score of darlington smoker kick the habit,kick_habit,1,['AT0'],NN2,NP0,,,1,16,0.420909091,I
she use treat and kindness rather than nag to persuade she mum to kick the habit for at least two week,kick_habit,1,['AT0'],TO0,NN1,PRP,PRP,1,21,0.093466667,I
the anthem flower-presentation long walk and interminable announcement all take place after the team have take the field where they be force to kick they heel in a neat line for nearly a quarter of an hour during which the chanteuse and the french army choir six time exhort the crowd to arm,kick_heel,1,['DPS'],TO0,VVN,PRP,AT0,1,53,0.35872973,I
davidson add that somerset have about four case to hear next week which mean that chilcott be leave kick he heel for another seven day,kick_heel,1,['DPS'],VVN,VBZ,PRP,DT0,1,25,0.023071429,I
dodge and wells return in place of alan warwood and adey marriott while jez harris who also play in last weekend 's hefty win over coventry when cusworth kick he heel on the bench remain at stand-off,kick_heel,1,['DPS'],NP0,CJS,PRP,AT0,1,37,0.283529412,I
he and he friend will be kick they heel in the pool till we have a few casualty,kick_heel,1,['DPS'],VBI,VM0,PRP,AT0,1,18,0.205333333,Q
once stalin make i dance the gopak squat down on i haunch and kick out i heel write khrushchev an image hard to call up in view of he shape but when stalin say dance a wise man dance add the peasant proverb-spinner in he accustomed vein,kick_heel,2,"['AVP', 'DPS']",CJC,NN2,VVZ,NP0,1,47,0.3592,L
surkov and i sprawl on the twin bed rozanov sit on the floor he back against the draw curtain masha in a comfortable chair kick off she high heel and draw she leg under she flower-patterned skirt,kick_heel,3,"['AVP-PRP', 'DPS', 'AJ0']",NN1,AJ0,CJC,VVD,1,37,0.095954545,L
i kick i heel and run i eye along the ruff of mountain surround cuzco like a tongue over broken tooth,kick_heel,1,['DPS'],PNP,,CJC,VVD,1,21,0.036846154,Q
dulcie unduly skittish kick up she heel every time that dotty approach she,kick_heel,2,"['AVP', 'DPS']",AJ0,AV0,AT0,NN1,1,13,0.148875,L
they have stay in the abbey kick they heel and help with administrative task to pay they way now one of they be only too happy to take the letter and ride south with corbett 's instruction ring in he ear,kick_heel,1,['DPS'],NN1,AT0,CJC,VVG-NN1,1,41,0.35336,I
eric cantona will have to kick he heel on the manchester united sideline if mark hughes and brian mcclair have they way,kick_heel,1,['DPS'],TO0,VHI,PRP,AT0,1,22,0.1702,I
this be you chance to kick up you heel and support this group of anonymous woman artist,kick_heel,2,"['AVP', 'DPS']",TO0,NN1,CJC,VVB,1,17,0.215454545,I
one of walker 's early dispatch write as the team kick they heel in some god-forsaken spot in tibet wait for bureaucracy begin memorably this be the bad place in the world,kick_heel,1,['DPS'],NN1,AT0,PRP,DT0,1,32,0.29525,I
if the birth of she child be to take place in london as have be arrange then presumably for some week beforehand she would have to remain in the harley street flat kick she heel or at least suffer the kick inside she which she have greatly come to resent,kick_heel,1,['DPS'],NN1,NP0,CJC,PRP,1,50,0.131151515,I
it be true that the government be rarely defeat in the commons while the lords can kick they heel by vote against they,kick_heel,1,['DPS'],VM0,NN2,PRP,VVG-NN1,1,23,0.007307692,Q
they will play half a game each with new signing eric cantona and one of they will be pick to line up alongside the frenchman in the manchester derby tomorrow week the other will have to kick he heel,kick_heel,1,['DPS'],TO0,VHI,,,1,39,0.224208333,I
former england under-21 midfielder sellars who sign a four-year contract two month ago and ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½2 million record sign david rocastle h,kick_heel,1,['DPS'],VVN,VBN,,,1,27,0.085,I
clough have be leave kick he heel in he search to replace england defender des walker who leave on a ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½1.5 million cut-price deal to itali,kick_heel,1,['DPS'],VVN,VBN,PRP,DPS,1,31,0.226315789,I
that have set crosby into conflict with murray and leave armstrong kick he heel instead of a football,kick_heel,1,['DPS'],NP0,VVD,AV0,PRF,1,18,0.131,I
but nothing come of it and he be still kick he heel at bramall lane after draw a blank in he summer quest to find a new club,kick_heel,1,['DPS'],AV0,VBZ,PRP,NP0,1,28,-0.0164375,I
while he have be kick he heel yesterday he have spend an hour in a tiny bookshop in curzon street and have come away with a paperback edition of the parsons rosenberg and the seamus heaney and ted hughes 's anthology,kick_heel,1,['DPS'],VBN,VHD,AV0,PNP,1,41,0.172428571,I
the clash of steel jar up he arm then he kick he heel back to force the stallion towards the road,kick_heel,1,['DPS'],PNP,AV0,AVP,TO0,1,21,0.2875,L
he assume that by now the allied general must be aware of the french advance but it be still he duty to report what he have see and so he kick back he heel wave farewell to the prussian and ride on,kick_heel,2,"['AVP', 'DPS']",PNP,AV0,VVD,NN1,1,42,0.373863636,L
either to stay in they insufferable home or to kick up they heel in the street,kick_heel,2,"['AVP', 'DPS']",TO0,CJC,PRP,AT0,1,16,0.182083333,Q
i son i begin to fear be still kick he heel on a fog-bound airport in birmingham,kick_heel,1,['DPS'],AV0,VBD,PRP,AT0,1,17,-0.122444444,I
the working-class delegate be not leave to kick they heel in an anteroom but be usher into the salon it be a london house which lord valentine evidently occupy,kick_heel,1,['DPS'],TO0,VVN-AJ0,PRP,AT0,1,29,0.152529412,I
in the massage parlour at lunchtime molly lugg tell i she son be now unemployed because he boss trevor proby be in chain and she would be grateful if i could find he something to do as he spend all he time kick he heel mostly through shop window in the high street,kick_heel,1,['DPS'],NN1,DPS,AV0,PRP,1,53,0.119964286,I
he kick he filthy heel in the air,kick_heel,2,"['DPS', 'AJ0']",PNP,,PRP,AT0,1,8,0.046333333,L
two cupid clutch the bow and kick fat heel,kick_heel,1,['AJ0'],CJC,NN2,,,1,9,0.026875,L
but perhaps you too be kick up you heel elsewhere by now,kick_heel,2,"['AVP', 'DPS']",VBB,AV0,AV0,PRP,1,12,0.04625,Q
and i could see i be go to get warm still because the bullock be begin to enjoy the game kick up he heel and frisk around after each attempt,kick_heel,2,"['AVP', 'DPS']",NN1,AT0,CJC,VVG,1,30,0.267777778,L
for a guy like i to hang around kick he heel ai not natural,kick_heel,1,['DPS'],AVP-PRP,VVI,UNC,XX0,1,14,0.253888889,I
corbett bow withdraw and spend the rest of the time kick he heel in an antechamber before a servant imperiously summon he up the great staircase and usher he into a brilliantly decorated room,kick_heel,1,['DPS'],NN1,AT0,PRP,AT0,1,34,0.254727273,I
she know only too well that he bed probably would not be empty be he so desperately in need of fresh conquest that he would attempt to seduce shae while marianne kick she heel downstairs await she turn,kick_heel,1,['DPS'],NP0,CJS,AV0,VVG,1,38,0.0034,I
you be really kick you heel and erm quite apart from which in the winter time the er condition be pretty grim because they have the erm anti-splinter netting over the window and erm big blind which have to be draw as soon as it be dusk because er of course you be not allow to show a light and erm if that be it become really thick,kick_heel,1,['DPS'],AV0,VBD,CJC,UNC,1,68,0.313228571,Q
the man will not step foot outside he castle without myself as escort so i have to kick i heel until he business with queen matilda be do,kick_heel,1,['DPS'],TO0,VHB,PRP,DPS,1,28,0.095933333,I
i sit in the pie shop kick i heel and ponder the problem,kick_heel,1,['DPS'],NN1,NN1,CJC,VVG,1,13,0.1445,I
the rock-hard defender have expect to be kick he heel at the start of next season after pick up a lengthy suspension a month ago,kick_heel,1,['DPS'],VBI,TO0,PRP,AT0,1,25,0.212941176,I
the former dublin captain send off after only four minute following an off-the-ball incident with donegal midfielder brian murray could be leave kick he heel in frustration for the good part of the summer,kick_heel,1,['DPS'],VVN,VBI,PRP,NN1,1,34,0.13845,I
even the local reporter have to kick he heel at the lich-gate with the few inquisitive neighbour who have gather,kick_heel,1,['DPS'],TO0,VHD,PRP,AT0,1,20,0.403923077,I
then we will go and see how downes be make out do he good to kick he heel in a cell for half an hour,kick_heel,1,['DPS'],TO0,AJ0,PRP,AT0,1,25,0.168214286,I
so tuppe sit on the portmanteau kick he heel,kick_heel,1,['DPS'],NN1,AT0,,,1,9,-0.116,Q
do you good to kick up you heel now and then and say to hell with everything,kick_heel,2,"['AVP', 'DPS']",TO0,AJ0,AV0,CJC,1,17,0.4005,I
swindon town be still kick they heel of course they cup game at queens park rangers be on monday night,kick_heel,1,['DPS'],AV0,VBB,PRF,NN1,1,20,-0.279818182,I
a few short year ago he stand unrivalled as the good player in the country but a series of niggling injury leave he kick he heel in frustration,kick_heel,1,['DPS'],PNP,VVD,PRP,NN1,1,28,0.039,I
promotion and relegation issue be invariably not settle before the last week of the season so there would be no point in club sign player only for they to kick they heel after the deadline,kick_heel,1,['DPS'],TO0,PNP,PRP,AT0,1,35,0.146047619,I
and it be even more noticeable once you go into the the year twelve that first twelve month be crucial if you just kick you heel and do nothing you will find it very very difficult to work to pull up,kick_heel,1,['DPS'],AV0,PNP,CJC,VDB,1,41,0.073166667,I
a neat bit of rewrit there the real richard be one of the leader of the second crusade which lay waste to palestine before end up with a score-draw against the arab whose land he be invade,lay_waste,0,[],DTQ,NN1,PRP,NP0,1,37,0.419636364,I
the chimera in classical greek legend be a monster part lion part dragon part goat which lay waste to the region of lycia,lay_waste,0,[],DTQ,NN1,PRP,AT0,1,23,0.405058824,I
it be lay waste to nowhere,lay_waste,0,[],VBZ,PNP,PRP,AV0,1,6,0.44225,Q
now those enemy be pour through non-existent defence and lay waste the city of the reich,lay_waste,0,[],CJC,NN2,AT0,NN2,1,16,0.276666667,I
hertford take he instruction seriously devastating lothian and edinburgh and lay waste the great border abbey as well as destroy numerous small town and village,lay_waste,0,[],CJC,NP0,AT0,AJ0,1,25,0.139866667,I
and as for steiner 's suggestion that the west lay waste to the natural world can he have forget that it be the soviet union that bring we chernobyl,lay_waste,0,[],NN1,AT0,PRP,AT0,1,29,0.266375,I
mr lilley never look happy at the department of trade and industry where he non-interventionist view seem out of tune with a deepening recession which be lay waste many of the business create in the boom year of 1980s,lay_waste,0,[],VBD,DTQ,DT0,PRF,1,39,0.366769231,I
hence introduce mongoose plus cat dog and rat have lay waste much of the native fauna of the caribbean which be also threaten by horticulture and tourism and cat dog and rat have drive several sub-species of galapagos tortoise and indian ocean tortoise to extinction,lay_waste,0,[],VHB,NN2,DT0,PRF,1,45,0.427357143,I
these figure move slowly around a terrain apparently lay waste by some great disaster,lay_waste,0,[],AV0,NN1,PRP,DT0,1,14,0.2716,I
the man of the lincolnshire fen fall upon the adventurer break the sluice lay waste they land throw down they fence and forcibly retain possession of the land,lay_waste,0,[],NN2,AT0,DPS,NN2,1,28,0.348304348,I
the prisoner a negro stevedore call augustus ciparis remain lock up in he cell for four day after st pierre have be lay waste without food half-dead from burn and shock until he cry for help be hear by two negroe pick through the ruin of the town,lay_waste,0,[],VBN,VHD,PRP,NN1,1,48,0.146935484,I
since early day the castle have be lay waste and rebuild many time before be inherit by the great benefactress lady anne clifford who restore it in 1660,lay_waste,0,[],VBN,VHZ,CJC,VVN-VVD,1,28,0.6185625,I
at this time the cid be gather strength and when he hear that the moor be in the country lay waste before they he gather together what force he could and go after they and the moor when they hear this dare not abide he coming but begin to fly,lay_waste,0,[],NN1,AT0,PRP,PNP,1,50,0.435043478,I
this alien from the mediterranean be note in large number in 1666 when it spread over the ground lay waste by the great fire of london,lay_waste,0,[],NN1,AT0,PRP,AT0,1,26,0.323555556,I
with no history of effective colonial rule or overseas empire building german effort at slave trading and colonialism in africa prove an unmitigated disaster with whole stretch of africa lay waste and depopulate,lay_waste,0,[],NP0,PRF,CJC,VVD,1,33,0.223444444,I
the guatemalan army be launch a scorched earth policy which lay waste to hundreds of indian village in el salvador the death squad be dump a thousand body a month on the street in nicaragua the contra war be just begin to put the sandinista revolution into reverse,lay_waste,0,[],DTQ,NN1,PRP,CRD,1,48,0.343689655,I
now the united states be on the verge of bomb iraq on the pretext that iraq refuse to destroy it weapon of mass destruction when in fact iraq have ask that some of it military industry be convert to civilian production lay waste by allied bombing,lay_waste,0,[],NN1,AJ0,PRP,AJ0,1,46,0.414076923,I
both the army of this pincers movement probably travel quickly without extensive commissary rely on what they could pick up as they lay the land waste,lay_waste,2,"['AT0', 'NN1']",PNP,CJS,,,1,26,0.2833125,I
they have lay waste the entire north of the country and in 449 they arrive at the university town of stamford,lay_waste,0,[],VHD,PNP,AT0,AJ0,1,21,0.660333333,I
the main withdrawal be accomplish on 16 march the entire abandoned area be lay waste strew with mine and booby trap and the water supply poison,lay_waste,0,[],VBD,NN1,VVN,PRP,1,26,0.1693125,I
tyrion and the everqueen flee through a land lay waste by war,lay_waste,0,[],NN1,AT0,PRP,NN1,1,12,0.367142857,I
it have be estimate that over 50 acre of verulamium be lay waste c,lay_waste,0,[],VBD,NP0-NN1,ZZ0,,1,14,0.402285714,I
much of beijing be lay waste with many chinese raped and kill,lay_waste,0,[],VBD,NP0,PRP,DT0,1,12,0.146,I
when english resolution falter and they turn to flee the scot pursue they down the lowland and across the border lay waste to northumberland and cumberland,lay_waste,0,[],NN1,AT0,PRP,NP0,1,26,0.286625,I
i wish i could have feel any sort of advance enthusiasm but i could not have care less if john have spend the week transform the room into the crystal palace or even if he have be lay everything waste with a meat-axe,lay_waste,1,['PNI'],VBN,VHD,PRP,AT0,1,43,0.449521739,I
euturpia kennedy turn untenanted eye in a face lay waste even she lip empty of succulence be hardly there but for the outlined ridge,lay_waste,0,[],NN1,AT0,AV0,DPS,1,24,0.201928571,I
whilst croatia and slavonia be be lay waste during the centuries-long struggle between the habsburgs and the ottoman dalmatia although not entirely at peace enjoy relative prosperity and order,lay_waste,0,[],VBG,VBD,PRP,AT0,1,29,0.464692308,I
i have see i own country lay waste and no one seem to care,lay_waste,0,[],NN1,DT0,CJC,AT0,1,14,0.361444444,I
johnson ponder the ruin of the building the church of elgin have in the intestine tumult of the barbarous age be lay waste by the irruption of a highland chief whom the bishop have offend,lay_waste,0,[],VBN,NN2,PRP,AT0,1,35,0.391586207,I
a forty-year madness he have call it one which have lay waste the good year of she young life yet he be back in the thick of he obsession now and so elated by he own recent progress that he lack the time to ask about she own,lay_waste,0,[],VHD,DTQ,AT0,AJS,1,48,0.419965517,I
he have lay waste everything she sense most of all but also she pride she independent will and even she anger and hatred for the time that he be touch she,lay_waste,0,[],VHD,PNP,PNI,DPS,1,31,0.365266667,I
if this be another trick then stop she plead she defence lay waste,lay_waste,0,[],NN2,DPS,,,1,13,-0.4095,I
he defence might be intact but hers be in ruin lay waste by a man she hardly know and yet love with all she heart,lay_waste,0,[],NN2,PRP,PRP,AT0,1,25,0.032166667,I
mozart write the part of ramiro for a castrato perhaps expect great power than katherine steffan convey at least until the final aria when this previously rational character lose he cool,lose_cool,1,['DPS'],NN1,AJ0,,,1,31,0.3009375,I
in this situation it hardly ever help if you start shout or lose you cool,lose_cool,1,['DPS'],CJC,VVG-AJ0,,,1,15,0.0025,I
in the present situation it would be enough if one individual lose he cool gen schwanitz add,lose_cool,1,['DPS'],NN1,CRD,NP0,NP0,1,17,0.2792,I
kylie say press report lose she cool and scream at the intruder,lose_cool,1,['DPS'],NN2-VVZ,NN1-VVB,CJC,VVD-VVN,1,12,0.074444444,I
i even see one video of a council meeting where an irate councillor have virtually dig himself into a trench in an attempt to protect he interest in the face of strategic questioning by the yccc actually lose he cool and demand that an old man who be tape-recording the meeting should either stop recording or get out,lose_cool,1,['DPS'],AV0,NP0,CJC,VVD,1,58,0.179441176,I
do not lose you cool gowie he say quickly,lose_cool,1,['DPS'],XX0,VDB,NP0,PNP,1,9,0.277,I
amanda never lose she cool,lose_cool,1,['DPS'],AV0,NP0,,,1,5,-0.0915,I
you could not blame he for lose he cool,lose_cool,1,['DPS'],PRP,PNP,,,2,9,-0.06375,I
hughie gallacher specialise in lose he cool,lose_cool,1,['DPS'],PRP-AVP,VVD,,,2,7,-0.1892,I
in the end i have to take it to a skid pan to see how far it would go before it eventually lose it cool the answer be as far as it steering lock would allow,lose_cool,1,['DPS'],AV0,PNP,AT0,NN1,1,36,0.329666667,Q
cope well under stress but can lose she cool from time to time,lose_cool,1,['DPS'],VM0,CJC,PRP,NN1,1,13,0.385,I
kenneth finally lose he cool with a photographer this morning and threaten to hit he,lose_cool,1,['DPS'],AV0,NP0,PRP,AT0,1,15,-0.031428571,I
mcenroe lose he cool and the umpire get the full treatment,lose_cool,1,['DPS'],NP0,,CJC,AT0,1,11,0.21225,I
gable lose he cool with he pal spencer tracy who often test the patience of he peer,lose_cool,1,['DPS'],NP0-NN1,,PRP,DPS,1,17,0.3658,I
tired of the wheedling tone the persistent arrogance of the man cowley lose he cool and turn on the colonel,lose_cool,1,['DPS'],NP0,NN1,CJC,VVD-VVN,1,20,0.367266667,I
the ice maiden finally lose she cool this week,lose_cool,1,['PNP'],AV0,NN1,DT0,NN1,1,9,-0.298,Q
raging bull who make smoothie barry norman lose he cool,lose_cool,1,['DPS'],NP0,NP0,,,1,10,-0.302166667,I
but she be not the only one who be lose she cool,lose_cool,1,['DPS'],VBD,PNQ,,,1,12,-0.1536,I
smooth tv frontman frank bough lose he cool yesterday after be name in kinky sex allegation splash across a sunday newspaper for the second time in he career,lose_cool,1,['DPS'],NN1,NP0,AV0,PRP,1,28,0.195444444,I
but they the french do not beat we physically but because we lose we cool and there be bad problem especially the lack of a leader,lose_cool,1,['DPS'],PNP,CJS,CJC,EX0,1,26,0.254461538,I
yet somewhat inconsistently he reject any comparison with the circumstance at faisalabad nearly five year ago when the exasperated mike gatting and shakoor rana lose they cool,lose_cool,1,['DPS'],NP0,NP0,,,1,27,0.168833333,I
sometimes she lose she cool and i think she step out of she role as therapist,lose_cool,1,['DPS'],PNP,AV0,CJC,PNP,1,16,0.12125,I
guil lose he cool,lose_cool,1,['DPS'],NP0,,,,1,4,-0.0915,I
you really lose you cool you have get to admit it and it be obvious that you think i be completely off i trolley so you see,lose_cool,1,['DPS'],AV0,PNP,PNP,VHB,1,27,0.299076923,I
christ mutter paul lexington momentarily lose he cool,lose_cool,1,['DPS'],AV0,NP0,,,1,8,0.0322,I
a saint would be forgive for lose he cool around you,lose_cool,1,['DPS'],PRP,VVN,PRP,PNP,1,11,0.0965,I
you need not lose you cool,lose_cool,1,['DPS'],XX0,VM0,,,1,6,0.227,I
you father just lose he cool a little i suppose,lose_cool,1,['DPS'],AV0,NN1,AT0,AV0,1,10,-0.290833333,I
apart from lose i cool with vinnie dirkin in the deptford arm which i think you will agree be excusable i have not hit back,lose_cool,1,['DPS'],PRP,AV0,PRP,NP0,1,25,0.2835,I
he lose he cool and kick out two stump during a frustrating day when he beat the bat consistently,lose_cool,1,['DPS'],PNP,,CJC,VVD,1,19,0.132333333,I
but you be definitely not lose he he cool,lose_cool,2,"['DPS', 'DPS']",XX0,AV0,,,1,9,0.208666667,Q
a sport like a new spouse can be so infatuated with it glamourous partner that it lose it head,lose_head,1,['DPS'],PNP,CJT,,,1,19,-0.024,I
after two year of binge up baldwin and bring neville along to find that even neville lose he head and sell the pass in the first fortnight of serious crisis,lose_head,1,['DPS'],NP0,AV0,CJC,VVZ,1,30,0.1278,I
since enemy plane have be over the village they have all lose they head,lose_head,1,['DPS'],AV0,VHB,,,1,14,0.0435,I
they at once proceed to make a perambulation without authorization and publicly proclaim in the city of york that any forester who enter the forest would lose he head,lose_head,1,['DPS'],VM0,NN1,,,1,29,0.203333333,L
as a player souness have a highly flammable temper when he lose the head something snap,lose_head,1,['AT0'],PNP,CJS,PNI,VVZ,1,16,-0.214,I
buckingham lose he head over the matter,lose_head,1,['DPS'],NP0,,PRP,AT0,1,7,0.1095,Q
the church and king front however now that louis xvi be hold in paris and soon to lose he head regard the date with repugnance,lose_head,1,['DPS'],TO0,AV0,VVN-VVD,AT0,1,25,0.181866667,L
many a prey species can afford to dispense with it tail but can never afford to lose it head,lose_head,1,['DPS'],TO0,VVI,,,2,19,0.209909091,Q
this look as eye-like to the predator as the real eye and give the prey a fifty-fifty chance of lose it head,lose_head,1,['DPS'],PRF,NN1,,,1,22,0.464857143,L
i then walk across to the photographer and lose i temper lose i head,lose_head,1,['DPS'],NN1,DPS,,,1,14,-0.109875,I
though he ultimately lose he head under the executioner 's axe whilst that head be on he shoulder he do use it well,lose_head,1,['DPS'],AV0,PNP,PRP,AT0,2,23,-0.1127,L
more than one lose he head as a consequence of make what be allege to be seditious or treacherous statement in the house of commons,lose_head,1,['DPS'],CRD,CJS,PRP,AT0,1,25,0.012933333,L
although the drawing make it back to civilisation the pickled head along with the rest of the ship be lose,lose_head,0,[],VBD,NN1,,,2,20,0.335214286,L
lose they head,lose_head,1,['DPS'],,DPS,,,1,3,-0.595,Q
the trouble be he have lose he head,lose_head,1,['DPS'],VHD,PNP,,,1,8,0.0616,Q
we must not lose we head say masklin,lose_head,1,['DPS'],XX0,VM0,VVD,NP0,1,8,-0.192,Q
but it be always a bit of a blow to lose a head of chamber,lose_head,1,['AT0'],TO0,NN1,PRF,NN2,1,15,0.180625,L
impulsive fergie lose she head again yesterday,lose_head,1,['DPS'],NP0,AJ0,AV0,AV0,1,7,-0.255,I
the tear dribble on she face and make bright line across the greyness of she cheek and then she head be lose in she hand,lose_head,2,"['PRP', 'DPS']",VBD,NN1,,,1,25,0.3465,L
ibm have lose it head of worldwide database design and strategy and the man responsible for db2 jnan dash to oracle corp to be vice-president database technology,lose_head,1,['DPS'],VHZ,NP0,PRF,AJ0,1,27,0.4243,L
sun have lose the head of it internal viking project,lose_head,1,['AT0'],VHZ,NN1,PRF,DPS,1,10,0.303625,L
a few mile away be the ancient town of lewes with it imposing norman castle and anne of cleves house the former home of one wife who do not lose she head to henry viii,lose_head,1,['DPS'],XX0,VDD,PRP,NP0,1,35,0.19675,L
during the last few minute hazel have be as near to lose he head as he be ever to come,lose_head,1,['DPS'],PRP,AJ0,CJS,PNP,1,20,0.172272727,Q
she turn on constanza constanza lose she head she strike back she say the thing she have not say in a life-time the thing that should not be say,lose_head,1,['DPS'],NP0,NP0,PNP,VVD,1,29,0.291833333,I
he have lose he heart and be in danger of lose he head,lose_head,1,['DPS'],PRF,NN1,,,1,13,-0.075,Q
there be always something around the corner if you do not lose you head,lose_head,1,['DPS'],XX0,VDD,,,1,14,0.001,Q
